MCLU,TIME[Myr],Z,NB_P,EBIN
1012,87.5,0.02,1,8.259443053514646e+46
1012,48.0,0.02,0,1.191821277624398e+48
1012,48.0,0.02,1,1.0998172820505488e+47
1012,82.25,0.02,0,6.702611575276086e+46
1012,82.25,0.02,1,8.256447258897046e+46
1012,86.75,0.02,0,6.699440225839094e+46
1012,86.75,0.02,1,8.25954172000777e+46
1012,45.5,0.02,0,1.1923112884185872e+48
1012,45.5,0.02,1,1.0990579890133421e+47
1012,59.25,0.02,0,6.8229025716043035e+47
1012,59.25,0.02,1,1.0795035582258382e+47
1012,90.25,0.02,0,6.706089626461041e+46
1012,90.25,0.02,1,8.253149965424674e+46
1012,78.25,0.02,0,6.699983504627856e+46
1012,78.25,0.02,1,8.260702287636615e+46
1012,94.75,0.02,0,1.4097966944083273e+47
1012,94.75,0.02,1,8.255162785363707e+46
1012,92.0,0.02,0,6.704515114963254e+46
1012,92.0,0.02,1,8.254905410179764e+46
1012,2.75,0.02,0,9.457542997627588e+49
1012,2.75,0.02,1,2.2487888763098382e+48
1012,96.0,0.02,0,1.4064485278737827e+47
1012,96.0,0.02,1,8.25716098561705e+46
1012,20.5,0.02,0,7.325681823491164e+48
1012,20.5,0.02,1,1.3974062461468078e+47
1012,77.75,0.02,0,6.698466411582298e+46
1012,77.75,0.02,1,8.262181234270515e+46
1012,14.5,0.02,0,1.5796266073157625e+49
